year,month,day,hour,temp,rain,weather,PVout[kW],price[yen/kW30m]
2019,11,21,16.5,14.3,0,2,0.009,13.58
2019,11,21,17,13.6,0,2,-0.03,13.58
2019,11,21,17.5,13.6,0,2,0,13.58
2019,11,21,18,12,0,2,0,13.58
2019,11,21,18.5,12,0,2,0,11.69
2019,11,21,19,11.5,0,2,0,13
2019,11,21,19.5,11.5,0,2,0,10.65
2019,11,21,20,11.5,0,2,0,12.24
2019,11,21,20.5,11.5,0,2,0,10.65
2019,11,21,21,11.6,0,2,0,10.65
2019,11,21,21.5,11.6,0,2,0,10.65
2019,11,21,22,11.7,0,2,0,9.64
2019,11,21,22.5,11.7,0,2,0,9.64
2019,11,21,23,11.3,0,2,0,8.95
2019,11,21,23.5,11.3,0,2,0,8.95
2019,11,22,0,10.5,0,2,0,15
2019,11,22,0.5,10.5,0,2,0,12.79
2019,11,22,1,10.2,0,4,0,12
2019,11,22,1.5,10.2,0,4,0,10
2019,11,22,2,9.2,0,4,0,9.91
2019,11,22,2.5,9.2,0,4,0,8.93
2019,11,22,3,8.4,0,4,0,8.9
2019,11,22,3.5,8.4,0,4,0,8.9
2019,11,22,4,8.4,0,4,0,9.07
2019,11,22,4.5,8.4,0,4,0,9.07
2019,11,22,5,8.5,0,10,0,9.11
2019,11,22,5.5,8.5,0,10,0,11.44
2019,11,22,6,8.2,0,10,0,10.13
2019,11,22,6.5,8.2,0,10,0,10.13
2019,11,22,7,7.5,0,10,-0.015,12
2019,11,22,7.5,7.5,0,10,0.015,11.1
2019,11,22,8,7.9,0,4,0.029,9.4
2019,11,22,8.5,7.9,0,4,0.026,9.56
2019,11,22,9,8.2,0,10,0.041,9.51
2019,11,22,9.5,8.2,0,10,0.034,9.4
2019,11,22,10,8.4,0.5,10,0.072,9.35
2019,11,22,10.5,8.4,0.5,10,0.106,9.1
2019,11,22,11,8.4,1,10,0.108,9.11
2019,11,22,11.5,8.4,1,10,0.063,9.51
2019,11,22,12,8.7,0.5,10,0.08,8.83
